N algo time GFLOPS
1024 block_unroll_S8_M1 7.79901 0.275353
1024 block_unroll_S8_M2 7.66084 0.28032
1024 block_unroll_S8_M4 8.03906 0.267131
1024 block_unroll_S8_M8 9.2649 0.231787
1024 block_unroll_S8_M16 11.2008 0.191726
1024 block_unroll_S16_M1 7.07561 0.303505
1024 block_unroll_S16_M2 6.95346 0.308836
1024 block_unroll_S16_M4 7.02243 0.305803
1024 block_unroll_S16_M8 7.56483 0.283877
1024 block_unroll_S16_M16 8.88251 0.241765
1024 block_unroll_S32_M1 6.66744 0.322085
1024 block_unroll_S32_M2 6.53794 0.328465
1024 block_unroll_S32_M4 6.36481 0.3374
1024 block_unroll_S32_M8 6.60789 0.324988
1024 block_unroll_S32_M16 7.24258 0.296508
1024 block_unroll_S64_M1 6.44898 0.332996
1024 block_unroll_S64_M2 6.13787 0.349874
1024 block_unroll_S64_M4 6.09658 0.352244
1024 block_unroll_S64_M8 6.11859 0.350977
1024 block_unroll_S64_M16 6.42793 0.334086
1024 block_unroll_S128_M1 6.57084 0.32682
1024 block_unroll_S128_M2 6.21467 0.345551
1024 block_unroll_S128_M4 6.07603 0.353435
1024 block_unroll_S128_M8 6.01122 0.357246
1024 block_unroll_S128_M16 6.44256 0.333327
2048 classic 52.7537 0.325662
2048 transpose 40.9572 0.419459
2048 buffer 31.8239 0.539841
2048 buffer_unroll_M1 43.3074 0.396696
2048 buffer_unroll_M2 39.6677 0.433094
2048 buffer_unroll_M4 37.9303 0.452932
2048 buffer_unroll_M8 37.2695 0.460964
2048 buffer_unroll_M16 37.2081 0.461724
2048 block_S1 182.92 0.0939201
2048 block_S2 97.4909 0.17622
2048 block_S4 69.9913 0.245457
2048 block_S8 59.6873 0.287831
2048 block_S16 55.5599 0.309214
2048 block_S32 52.8524 0.325054
2048 block_S64 52.521 0.327105
2048 block_S128 51.2618 0.33514
2048 block_S256 53.5344 0.320913
2048 block_S512 53.9156 0.318644
2048 block_S1024 54.64 0.314419
2048 block_S2048 63.9884 0.268484
2048 block_unroll_S8_M1 62.8237 0.273462
2048 block_unroll_S8_M2 60.7306 0.282886
2048 block_unroll_S8_M4 63.8246 0.269173
2048 block_unroll_S8_M8 74.5417 0.230473
2048 block_unroll_S8_M16 90.575 0.189676
2048 block_unroll_S16_M1 57.0138 0.301328
2048 block_unroll_S16_M2 54.3231 0.316253
2048 block_unroll_S16_M4 55.8281 0.307728
2048 block_unroll_S16_M8 60.8709 0.282235
2048 block_unroll_S16_M16 71.4176 0.240555
2048 block_unroll_S32_M1 53.1409 0.323289
2048 block_unroll_S32_M2 51.0577 0.336479
2048 block_unroll_S32_M4 50.5826 0.33964
2048 block_unroll_S32_M8 52.8578 0.325021
2048 block_unroll_S32_M16 57.7634 0.297418
2048 block_unroll_S64_M1 51.5267 0.333417
2048 block_unroll_S64_M2 49.9534 0.343918
2048 block_unroll_S64_M4 49.025 0.35043
2048 block_unroll_S64_M8 49.1428 0.349591
2048 block_unroll_S64_M16 52.0126 0.330302
2048 block_unroll_S128_M1 52.7325 0.325793
2048 block_unroll_S128_M2 49.7444 0.345363
2048 block_unroll_S128_M4 48.4538 0.354562
2048 block_unroll_S128_M8 48.2971 0.355712
2048 block_unroll_S128_M16 49.4008 0.347765
