N algo time GFLOPS
1024 block_S32 0.419887 5.11443
1024 block_S64 0.50874 4.22118
1024 block_S128 0.62746 3.4225
1024 block_S256 0.686488 3.12822
1024 block_S512 0.71152 3.01816
1024 block_S1024 0.731961 2.93388
1024 block_unroll_S8_M1 1.73607 1.23698
1024 block_unroll_S8_M2 1.14145 1.88136
1024 block_unroll_S8_M4 1.0849 1.97943
1024 block_unroll_S8_M8 1.05067 2.04391
1024 block_unroll_S8_M16 0.861308 2.49328
1024 block_unroll_S16_M1 1.90692 1.12615
1024 block_unroll_S16_M2 1.07411 1.99931
1024 block_unroll_S16_M4 0.974457 2.20377
1024 block_unroll_S16_M8 0.89425 2.40144
1024 block_unroll_S16_M16 0.912234 2.35409
1024 block_unroll_S32_M1 2.08737 1.0288
1024 block_unroll_S32_M2 1.20233 1.78611
1024 block_unroll_S32_M4 0.96666 2.22155
1024 block_unroll_S32_M8 0.83647 2.56732
1024 block_unroll_S32_M16 0.783983 2.7392
1024 block_unroll_S64_M1 2.4079 0.891851
1024 block_unroll_S64_M2 1.27266 1.6874
1024 block_unroll_S64_M4 0.96271 2.23067
1024 block_unroll_S64_M8 0.816219 2.63102
1024 block_unroll_S64_M16 0.730853 2.93833
1024 block_unroll_S128_M1 2.55533 0.840395
1024 block_unroll_S128_M2 1.3029 1.64823
1024 block_unroll_S128_M4 1.01176 2.12252
1024 block_unroll_S128_M8 0.883412 2.4309
1024 block_unroll_S128_M16 0.864248 2.4848
2048 classic 7.16892 2.39644
2048 transpose 5.38545 3.19005
2048 transpose_full 5.39458 3.18465
2048 buffer 5.29835 3.2425
2048 buffer_unroll_M1 21.6986 0.79175
2048 buffer_unroll_M2 11.0192 1.55908
2048 buffer_unroll_M4 5.62016 3.05683
2048 buffer_unroll_M8 4.20968 4.08104
2048 buffer_unroll_M16 3.39842 5.05525
2048 block_S1 24.4683 0.702129
2048 block_S2 9.12643 1.88243
2048 block_S4 7.17481 2.39447
2048 block_S8 3.73724 4.59694
2048 block_S16 3.42804 5.01158
2048 block_S32 3.33377 5.15329
2048 block_S64 3.90719 4.39698
2048 block_S128 4.94261 3.47587
2048 block_S256 5.24687 3.27431
2048 block_S512 5.43804 3.1592
2048 block_S1024 5.70131 3.01332
2048 block_S2048 7.3569 2.33521
2048 block_unroll_S8_M1 14.0017 1.22699
2048 block_unroll_S8_M2 9.34205 1.83898
2048 block_unroll_S8_M4 9.40854 1.82599
2048 block_unroll_S8_M8 8.85932 1.93919
2048 block_unroll_S8_M16 7.33098 2.34346
2048 block_unroll_S16_M1 15.8688 1.08262
2048 block_unroll_S16_M2 8.81421 1.94911
2048 block_unroll_S16_M4 7.94908 2.16124
2048 block_unroll_S16_M8 7.48873 2.2941
2048 block_unroll_S16_M16 7.45479 2.30454
2048 block_unroll_S32_M1 16.3379 1.05153
2048 block_unroll_S32_M2 9.08076 1.8919
2048 block_unroll_S32_M4 7.7895 2.20552
2048 block_unroll_S32_M8 6.59755 2.60398
2048 block_unroll_S32_M16 6.27739 2.73679
2048 block_unroll_S64_M1 19.3549 0.887623
2048 block_unroll_S64_M2 9.8694 1.74072
2048 block_unroll_S64_M4 7.54581 2.27674
2048 block_unroll_S64_M8 6.531 2.63051
2048 block_unroll_S64_M16 5.84031 2.9416
2048 block_unroll_S128_M1 20.6098 0.833579
2048 block_unroll_S128_M2 10.4791 1.63945
2048 block_unroll_S128_M4 8.13001 2.11314
2048 block_unroll_S128_M8 7.00965 2.45089
2048 block_unroll_S128_M16 6.14274 2.79677
