size_kb,seq,random,random_idx
189,1.44616,14.4722,2.55295
190,1.44375,14.8908,2.55417
191,1.44564,14.416,2.40768
192,1.41589,14.6631,2.50366
193,1.41536,14.8931,2.55359
194,1.44525,14.9517,2.50576
195,1.41514,14.8792,2.55685
196,1.41629,14.7941,2.49275
197,1.40911,14.5224,2.50424
198,1.41606,14.5891,2.40045
199,1.37679,14.8497,2.56234
200,1.44457,14.3054,2.415
201,1.43902,14.3518,2.41684
202,1.38478,14.6007,2.50642
203,1.41674,14.4246,2.51022
204,1.4082,14.4874,2.49632
205,1.41574,14.1774,2.49615
206,1.40887,14.5936,2.49755
207,1.41633,14.2568,2.40387
208,1.40794,14.3326,2.49641
209,1.41533,14.6392,2.52609
210,1.38516,14.182,2.40703
211,1.37781,14.2999,2.40418
212,1.37751,14.3121,2.40909
213,1.38336,14.8527,2.42088
214,1.3861,14.1584,2.51228
215,1.41552,14.5062,2.35867
216,1.35048,14.5689,2.51335
217,1.41608,14.4095,2.51159
218,1.4156,14.3698,2.56478
219,1.4451,15.0009,2.56582
220,1.41614,14.8656,2.4117
221,1.44538,14.9096,2.56931
222,1.44478,14.5905,2.51341
223,1.4155,14.5949,2.56835
224,1.44507,14.6111,2.521
225,1.41604,14.6869,2.51634
226,1.41629,14.7918,2.51829
227,1.41585,15.119,2.36192
228,1.34992,15.2297,2.57173
229,1.44504,14.8136,2.5333
230,1.41593,14.8855,2.41243
231,1.37926,14.7074,2.53125
232,1.41644,14.6716,2.53307
233,1.37658,14.3368,2.42644
234,1.3847,14.537,2.52332
235,1.41582,14.6986,2.41207
236,1.3556,14.1441,2.53252
237,1.38517,14.4417,2.4284
238,1.38557,14.3948,2.41958
239,1.37771,14.7512,2.42799
240,1.37879,14.5571,2.38506
241,1.37785,14.3422,2.53446
242,1.423,14.4653,2.3816
243,1.35637,14.3396,2.41704
244,1.35755,13.9251,2.43539
245,1.38549,14.3799,2.43013
246,1.38453,15.0757,2.43293
247,1.38556,14.763,2.53799
248,1.3555,14.7259,2.42257
249,1.38564,14.2682,2.43457
250,1.36303,14.5307,2.37956
251,1.35695,13.942,2.4191
252,1.3776,13.7591,2.43034
253,1.38448,14.2196,2.40841
254,1.38484,14.1107,2.41183
255,1.38585,14.2368,2.41267
256,1.39197,14.1965,2.31482
257,1.39166,13.833,2.3524
258,1.378,14.5424,2.53534
259,1.35621,14.1049,2.44383
260,1.39262,14.4659,2.37828
261,1.35713,13.9309,2.39179
262,1.36322,14.281,2.26682
263,1.36365,13.5978,2.45844
264,1.39203,14.6625,2.40687
265,1.37006,14.7532,2.38541
266,1.35691,14.0958,2.4375
267,1.35674,14.1929,2.31162
268,1.39208,14.1033,2.31034
269,1.39179,13.9539,2.3292
270,1.3921,14.048,2.3072
271,1.38454,13.9828,2.32049
272,1.35653,14.4671,2.44887
273,1.42306,14.8143,2.32933
274,1.35681,14.0501,2.32262
275,1.39185,14.0312,2.30702
276,1.39215,14.5136,2.40089
277,1.35633,14.3084,2.3259
278,1.39216,13.8532,2.38068
279,1.39247,14.0465,2.30452
280,1.36348,13.6857,2.31504
281,1.38548,14.2104,2.31848
282,1.38522,13.8313,2.45745
283,1.3554,14.3158,2.37281
284,1.36334,13.7223,2.26915
285,1.39252,13.9689,2.35847
286,1.36469,13.448,2.30204
287,1.39253,13.8521,2.274
288,1.36319,13.4588,2.31453
289,1.38573,13.8533,2.2719
290,1.36342,13.7405,2.45358
291,1.36324,13.7159,2.32281
292,1.38498,13.8431,2.30081
293,1.364,13.4313,2.27112
294,1.39284,14.1228,2.49442
295,1.38424,14.5754,2.31745
296,1.39287,14.111,2.27027
297,1.36331,14.1961,2.30461
298,1.39233,14.1424,2.31725
299,1.36463,13.6973,2.34571
300,1.39288,13.8545,2.26734
301,1.36319,14.0816,2.31648
302,1.3929,13.9975,2.30339
303,1.38451,15.0152,2.31583
304,1.39183,14.0268,2.30605
305,1.39157,14.1384,2.3157
306,1.357,14.2718,2.26792
307,1.35632,13.9581,2.30062
308,1.38388,14.1158,2.25639
309,1.35657,14.1885,2.36323
310,1.36436,14.2591,2.27729
311,1.39321,14.1447,2.32009
312,1.36351,14.224,2.31738
313,1.39112,13.5448,2.27119
314,1.36318,13.6266,2.28223
315,1.35625,13.462,2.32292
316,1.36338,14.2091,2.34568
317,1.35648,14.1699,2.30464
318,1.38524,14.4065,2.31596
319,1.35622,13.8553,2.26602
320,1.38479,13.6767,2.28406
321,1.37126,14.0066,2.26314
322,1.35683,14.3672,2.32745
323,1.42425,14.3496,2.32938
324,1.39301,14.5165,2.32928
325,1.35894,14.3754,2.33019
326,1.36484,14.5316,2.32707
327,1.38675,14.5223,2.333
328,1.39203,14.6331,2.32389
329,1.42369,14.2211,2.30286
330,1.37861,14.4554,2.28443
331,1.34967,14.3002,2.33554
332,1.36389,14.0031,2.33591
333,1.38542,14.4927,2.31264
334,1.36359,14.0735,2.34207
335,1.35951,14.1549,2.33214
336,1.39257,14.2266,2.31885
337,1.39283,14.6162,2.3329
338,1.39356,14.1055,2.3294
339,1.38461,14.5837,2.35156
340,1.3926,14.3941,2.31135
341,1.37745,14.3937,2.27715
342,1.35615,14.19,2.33621
343,1.39286,14.3557,2.31314
344,1.37879,14.1914,2.32931
345,1.38431,14.4613,2.3292
346,1.37746,14.5565,2.34334
347,1.3924,14.2994,2.3153
348,1.35634,14.3286,2.29122
349,1.37737,14.2984,2.33307
350,1.38516,14.5519,2.31797
351,1.37794,14.5114,2.3567
352,1.39219,14.6267,2.28336
353,1.35665,14.2981,2.33406
354,1.35699,14.1882,2.33534
355,1.3846,14.492,2.38884
356,1.37748,14.5002,2.28075
357,1.35662,14.1131,2.34053
